fit_rank,app_id,name,release_date,genres,top_matching_tags,price_cents,price_usd,price_band,review_score,total,owners_range,owners_mid,performance_score,profile_fit_score,priority_score,evidence_tier,in_winner_cohort,in_top50_reference
5431,1030300,Hollow Knight: Silksong,,"Action, Adventure, Indie","Great Soundtrack, Open World, Difficult, Beautiful, Atmospheric, Souls-like, Story Rich, Action",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.99,26.5,low,0,0
5432,1339870,The Last Saviour,2020-07-24,"Adventure, Early Access, Indie","Survival, Gore, Survival Horror, FPS, First-Person, Horror, Atmospheric, Violent",899,8.99,$5-9.99,6,21,"0 - 20,000",10000,-3.878,52.99,41.18,low,0,0
5433,1304510,SCP: Nine-Tailed Fox,2022-02-02,"Action, Adventure, Early Access, Free To Play, Indie","Multiplayer, Survival, Team-Based, Survival Horror, FPS, First-Person, Horror, Psychological Horror",0,0.0,free,6,3368,"0 - 20,000",10000,-2.1052,52.99,50.5,medium,0,0
5434,2565180,Sniper Wild West Shooting Simulator,2023-09-05,"Action, Adventure, Indie, RPG, Simulation","Open World, Gore, FPS, War, Simulation, Tactical, Violent, Realistic",99,0.99,$0.01-4.99,0,6,"0 - 20,000",10000,-5.9856,52.99,30.1,low,0,0
5435,829260,Morning Never Comes,2018-04-06,"Action, Indie","Great Soundtrack, Difficult, Replay Value, Gore, Horror, Atmospheric, Roguelite, Action",99,0.99,$0.01-4.99,7,38,"0 - 20,000",10000,-3.3922,52.98,43.73,low,0,0
5436,1434950,HighFleet,2021-07-27,"Action, Adventure, Indie, Strategy","Building, Simulation, Tactical, Physics, Military, Strategy, Post-apocalyptic, Action",2999,29.99,$20-29.99,8,6182,"500,000 - 1,000,000",750000,-0.2744,52.98,60.12,high,0,0
5437,2940700,Bagel,2024-05-14,"Action, Indie, Massively Multiplayer","Co-op, Online Co-Op, Multiplayer, Massively Multiplayer, Funny, Competitive, Hack and Slash, Tactical",799,7.99,$5-9.99,0,3,"0 - 20,000",10000,-6.1828,52.98,29.06,low,0,0
5438,1794830,Macabre,,"Action, Adventure, Casual, Indie, RPG","Co-op, Online Co-Op, Multiplayer, Survival Horror, First-Person, Horror, Atmospheric, Psychological Horror",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.97,26.48,low,0,0
5439,338170,Ratz Instagib,2016-07-27,"Action, Indie","Great Soundtrack, Multiplayer, Gore, FPS, First-Person, Fast-Paced, Level Editor, Shooter",899,8.99,$5-9.99,8,3849,"200,000 - 500,000",350000,-0.6265,52.97,58.27,medium,0,0
5440,1334040,Paper Dolls 2 纸人贰,2020-07-02,"Action, Adventure, Indie","Survival, Survival Horror, FPS, First-Person, Horror, Psychological Horror, Shooter, Action",1999,19.99,$15-19.99,8,2575,"200,000 - 500,000",350000,-0.7681,52.97,57.52,medium,0,0
5441,1169140,Friends For The Apocalypse,,"Action, Early Access, Indie","Great Soundtrack, Difficult, Survival, Gore, Competitive, Short, Roguelite, Violent",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.97,26.48,low,0,0
5442,301280,Skin Deep,,"Action, Indie","Sandbox, Survival, FPS, First-Person, Tactical, Atmospheric, Violent, Shooter",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.96,26.48,low,0,0
5443,1686230,Mayday: The Survival Island,,"Adventure, Indie, Simulation","Sandbox, Open World, Open World Survival Craft, Building, Survival, Crafting, Simulation, Farming Sim",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.96,26.48,low,0,0
5444,594220,The Living Remain,2022-04-05,"Action, Adventure, Early Access, Indie","Survival, Survival Horror, FPS, First-Person, Horror, Physics, Realistic, Shooter",1999,19.99,$15-19.99,6,208,"0 - 20,000",10000,-3.0847,52.96,45.34,low,0,0
5445,1185870,Skyland 1976,2019-11-17,"Action, Adventure, Indie","Survival, Gore, Survival Horror, FPS, First-Person, Horror, Violent, Action",1199,11.99,$10-14.99,6,45,"0 - 20,000",10000,-3.6181,52.96,42.53,low,0,0
5446,1451240,Barbarian Simulator,,"Action, Indie","Open World, Gore, War, Hack and Slash, Atmospheric, Violent, Realistic, Story Rich",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.96,26.48,low,0,0
5447,2384120,WRECK,,"Action, Indie","Multiplayer, Moddable, Gore, FPS, First-Person, Blood, Level Editor, Violent",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.95,26.48,low,0,0
5448,1730580,Shattle,,"Action, Indie","Multiplayer, Survival, Crafting, Competitive, Tactical, Violent, Resource Management, Strategy",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.95,26.48,low,0,0
5449,2693990,Prisoners Hunt,,"Action, Adventure, Early Access, Indie","Multiplayer, Sandbox, Survival, FPS, First-Person, Realistic, Post-apocalyptic, Action",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.95,26.48,low,0,0
5450,818210,Indie Pogo,2018-07-10,"Action, Indie","Great Soundtrack, Multiplayer, Local Multiplayer, Fighting, Action, Singleplayer, Indie, Platformer",1499,14.99,$10-14.99,8,346,"20,000 - 50,000",35000,-2.0337,52.95,50.86,low,0,0
5451,2069310,RealFlight Evolution,2022-10-27,"Indie, Racing, Simulation","Multiplayer, Open World, First-Person, Local Multiplayer, Simulation, Level Editor, Physics, Realistic",6999,69.99,$40+,8,731,"20,000 - 50,000",35000,-1.7707,52.95,52.24,medium,0,0
5452,1274090,Hotfix,2020-10-21,"Action, Casual, Early Access, Indie","Sandbox, Open World, Open World Survival Craft, Building, Survival, Base Building, Crafting, Post-apocalyptic",0,0.0,free,6,69,"0 - 20,000",10000,-3.4701,52.94,43.3,low,0,0
5453,333300,ADOM (Ancient Domains Of Mystery),2015-11-16,"Adventure, Indie, RPG, Strategy","Difficult, Replay Value, Atmospheric, Turn-Based, Dungeon Crawler, Strategy, Roguelike, Procedural Generation",1499,14.99,$10-14.99,8,1487,"50,000 - 100,000",75000,-1.3356,52.94,54.52,medium,0,0
5454,653940,Zafehouse Diaries 2,2017-06-16,"Indie, RPG, Strategy","Survival, Base Building, Crafting, Survival Horror, Management, Simulation, Horror, Turn-Based",699,6.99,$5-9.99,6,128,"50,000 - 100,000",75000,-2.7653,52.94,47.01,low,0,0
5455,1688340,Timore Redo,2022-07-26,"Action, Indie","Gore, Survival Horror, FPS, First-Person, Horror, Atmospheric, Violent, Psychological Horror",1899,18.99,$15-19.99,7,16,"0 - 20,000",10000,-3.6848,52.94,42.17,low,0,0
5456,1580440,The LastOnesLeft,2022-01-15,"Action, Adventure, Indie","Survival, Gore, Survival Horror, FPS, First-Person, Horror, Violent, Psychological Horror",599,5.99,$5-9.99,5,25,"0 - 20,000",10000,-4.1031,52.94,39.97,low,0,0
5457,1068110,MPaliens,2019-07-27,"Action, Indie","Co-op, Great Soundtrack, Difficult, Local Co-Op, Local Multiplayer, 4 Player Local, Action, Adventure",199,1.99,$0.01-4.99,7,13,"0 - 20,000",10000,-3.7532,52.93,41.81,low,0,0
5458,1997800,Delusional,2022-08-23,"Action, Indie, Simulation","Gore, Survival Horror, Simulation, Horror, Atmospheric, Violent, Psychological Horror, Action",599,5.99,$5-9.99,0,9,"0 - 20,000",10000,-5.8599,52.93,30.73,low,0,0
5459,2579740,暗色战争(Dark Conflict),,"Indie, Strategy","Building, Base Building, Crafting, Management, City Builder, War, Simulation, Tactical",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.93,26.46,low,0,0
5460,236090,Dust: An Elysian Tail,2013-05-24,"Action, Adventure, Indie, RPG","Great Soundtrack, Beautiful, Hack and Slash, Atmospheric, Story Rich, Action, Singleplayer, RPG",1499,14.99,$10-14.99,9,18420,"500,000 - 1,000,000",750000,0.3942,52.93,63.61,high,0,0
5461,1192730,ADULT SHERIFF,2020-01-04,"Action, Adventure, Casual, Indie, RPG, Simulation","Great Soundtrack, Difficult, FPS, First-Person, Simulation, Violent, Realistic, Shooter",99,0.99,$0.01-4.99,5,228,"0 - 20,000",10000,-3.3366,52.93,44.0,low,0,0
5462,2696570,Storm's Eye,2024-04-22,"Action, Early Access, Indie","Co-op, Online Co-Op, Multiplayer, Roguelite, Roguelike, Shooter, Action, Perma Death",999,9.99,$5-9.99,0,2,"0 - 20,000",10000,-6.2841,52.92,28.5,low,0,0
5463,1922500,World of Stickman Classic RTS,,"Action, Indie, Massively Multiplayer, Strategy","Massively Multiplayer, Base Building, Simulation, Atmospheric, Level Editor, Resource Management, Strategy, Historical",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.92,26.46,low,0,0
5464,300160,Bridge!,2015-10-28,"Casual, Simulation, Strategy","Moddable, Sandbox, Building, Replay Value, Simulation, Physics, Strategy, Realistic",499,4.99,$0.01-4.99,4,51,"20,000 - 50,000",35000,-3.8386,52.92,41.35,low,0,0
5465,1730270,IGW - Imperium: Galactic War™ Classic,,"Free To Play, Indie, Massively Multiplayer, RPG, Simulation, Strategy","Multiplayer, Sandbox, Open World, Massively Multiplayer, Simulation, Strategy, RTS, Space Sim",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.92,26.46,low,0,0
5466,400940,Budget Cuts,2018-06-14,"Action, Adventure, Indie","FPS, First-Person, Horror, Atmospheric, Psychological Horror, Action, Singleplayer, Stealth",2999,29.99,$20-29.99,8,1826,"200,000 - 500,000",350000,-0.8891,52.92,56.86,medium,0,0
5467,2612370,Pigsaw: Human Abattoir,,"Action, Indie","Gore, Survival Horror, FPS, First-Person, Blood, Horror, Atmospheric, Violent",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.91,26.45,low,0,0
5468,2743530,A Package For Space,,"Action, Adventure, Early Access, Indie","Sandbox, Building, Survival, Base Building, Crafting, FPS, First-Person, Agriculture",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.91,26.45,low,0,0
5469,255870,PixelJunk™ Shooter,2013-11-11,Action,"Co-op, Local Co-Op, Local Multiplayer, Physics, Shooter, Action, Singleplayer, Sci-fi",899,8.99,$5-9.99,8,594,"100,000 - 200,000",150000,-1.4902,52.91,53.7,medium,0,0
5470,1258590,Locked Up,2020-04-23,Indie,"Great Soundtrack, First-Person, Horror, Atmospheric, Violent, Psychological Horror, Realistic, Story Rich",1299,12.99,$10-14.99,6,1204,"50,000 - 100,000",75000,-1.978,52.91,51.13,medium,0,0
5471,1179190,Dinodrifters,2019-12-20,"Adventure, Indie, RPG, Simulation, Strategy","Open World, Survival, Replay Value, Simulation, Tactical, Strategy, Story Rich, Singleplayer",999,9.99,$5-9.99,0,3,"0 - 20,000",10000,-6.1828,52.91,29.02,low,0,0
5472,1523220,Overpower,2021-07-14,"Adventure, Indie","Co-op, Multiplayer, Local Co-Op, Local Multiplayer, Roguelike, Shooter, Procedural Generation, Singleplayer",699,6.99,$5-9.99,0,6,"0 - 20,000",10000,-5.9856,52.9,30.05,low,0,0
5473,1283500,Euphoria: Supreme Mechanics,2020-10-18,"Adventure, Indie, Simulation, Strategy","Great Soundtrack, Difficult, First-Person, Simulation, Atmospheric, Strategy, Story Rich, Action",59,0.59,$0.01-4.99,6,116,"0 - 20,000",10000,-3.2892,52.9,44.23,low,0,0
5474,956310,Musashi vs Cthulhu,2024-05-16,Action,"Co-op, Fast-Paced, Hack and Slash, Lovecraftian, Souls-like, Swordplay, Action, Singleplayer",499,4.99,$0.01-4.99,7,49,"0 - 20,000",10000,-3.3047,52.9,44.15,low,0,0
5475,1124180,Rail Route,2024-02-22,"Casual, Indie, Simulation, Strategy","Sandbox, Building, Base Building, Management, City Builder, Simulation, Strategy, Automation",2499,24.99,$20-29.99,8,1767,"200,000 - 500,000",350000,-0.9007,52.9,56.79,medium,0,0
5476,1175360,Doomsday Hunters,2023-07-20,"Action, Indie","Difficult, Gore, Roguelite, Destruction, Dungeon Crawler, Roguelike, Post-apocalyptic, Action",1599,15.99,$15-19.99,8,750,"20,000 - 50,000",35000,-1.7617,52.9,52.26,medium,0,0
5477,534550,Guacamelee! 2,2018-08-21,"Action, Adventure, Indie","Co-op, Difficult, Local Co-Op, Funny, 4 Player Local, Atmospheric, Action, Singleplayer",1999,19.99,$15-19.99,8,3066,"200,000 - 500,000",350000,-0.7066,52.9,57.81,medium,0,0
5478,2599480,Buckshot to Hell,2024-10-15,"Action, Indie, Simulation, Strategy","Multiplayer, Gore, FPS, First-Person, Simulation, Horror, Violent, Psychological Horror",149,1.49,$0.01-4.99,0,4,"0 - 20,000",10000,-6.1041,52.89,29.43,low,0,0
5479,1778880,Sword of Shadow: Revolution,,"Action, Adventure, Indie, RPG, Simulation, Strategy","Open World, Building, Base Building, City Builder, Simulation, Atmospheric, Agriculture, Resource Management",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.89,26.45,low,0,0
5480,612930,Fight of Gods,2019-03-28,"Action, Indie","Multiplayer, Memes, Funny, Local Multiplayer, Fighting, Action, Singleplayer, Early Access",1499,14.99,$10-14.99,8,824,"50,000 - 100,000",75000,-1.5434,52.89,53.41,medium,0,0
5481,2506680,Haunted Station,,"Action, Indie","Online Co-Op, Multiplayer, Team-Based, Survival Horror, FPS, First-Person, Horror, Action",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.89,26.45,low,0,0
5482,877980,Hunting fields of Jackals,2019-04-15,"Action, Early Access, Indie, Racing","Multiplayer, Survival, Competitive, FPS, War, Shooter, Action, Early Access",1799,17.99,$15-19.99,5,18,"0 - 20,000",10000,-4.2137,52.89,39.37,low,0,0
5483,2304680,Tofas Sahin: Online Car Driving,2023-02-15,"Action, Indie, Massively Multiplayer, Racing, Simulation","Multiplayer, Open World, Massively Multiplayer, Funny, Simulation, Realistic, Action, Singleplayer",99,0.99,$0.01-4.99,5,610,"20,000 - 50,000",35000,-2.6865,52.89,47.4,medium,0,0
5484,1767780,Deformity,2021-10-19,"Indie, Strategy","Co-op, Online Co-Op, Multiplayer, Building, Military, Strategy, Singleplayer, PvP",799,7.99,$5-9.99,0,7,"0 - 20,000",10000,-5.9385,52.89,30.3,low,0,0
5485,381780,80 Days,2015-09-28,"Adventure, Indie, Strategy","Great Soundtrack, Open World, Replay Value, Funny, Short, Atmospheric, Strategy, Story Rich",1299,12.99,$10-14.99,8,1908,"100,000 - 200,000",150000,-1.0795,52.89,55.85,medium,0,0
5486,736190,Chinese Parents,2018-09-28,"Casual, Indie, RPG, Simulation","Memes, Survival, Funny, Survival Horror, Simulation, Horror, Psychological Horror, Dark Humor",999,9.99,$5-9.99,8,24682,"1,000,000 - 2,000,000",1500000,0.3817,52.89,63.53,high,1,0
5487,1269730,Legacies: Conservation and Sabotage,,"Action, Adventure, Casual, Indie, Simulation, Strategy","Co-op, Multiplayer, Survival, Team-Based, First-Person, Atmospheric, Agriculture, Underwater",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.88,26.44,low,0,0
5488,2713110,SHLEMO,,"Action, Adventure, Indie","Open World, Difficult, Survival, Gore, Violent, Physics, Souls-like, Shooter",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.88,26.44,low,0,0
5489,2936360,混沌战域,2024-05-09,"Action, Free To Play, Indie, Massively Multiplayer, RPG","Co-op, Online Co-Op, Multiplayer, Open World, Massively Multiplayer, Free to Play, Action, RPG",0,0.0,free,6,81,"0 - 20,000",10000,-3.4144,52.87,43.56,low,0,0
5490,1215870,The Walking Evil,2020-05-01,"Action, Adventure, Indie","Survival, Gore, Survival Horror, Horror, Atmospheric, Violent, Psychological Horror, Realistic",1299,12.99,$10-14.99,5,115,"20,000 - 50,000",35000,-3.2719,52.87,44.31,low,0,0
5491,3245010,Dumbest Tourists of Timelines,,"Action, Casual, Indie, RPG","Co-op, Multiplayer, Difficult, Local Co-Op, Funny, Local Multiplayer, 4 Player Local, Comedy",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.87,26.43,low,0,0
5492,630720,Mana Spark,2018-09-27,"Action, Indie, RPG","Difficult, Local Co-Op, Atmospheric, Roguelite, Souls-like, Dungeon Crawler, Roguelike, Action",1199,11.99,$10-14.99,6,644,"0 - 20,000",10000,-2.6877,52.87,47.38,medium,0,0
5493,2153550,Day of the dead,2023-04-03,"Action, Early Access, Indie","Co-op, Multiplayer, Survival, FPS, First-Person, Military, Post-apocalyptic, Shooter",299,2.99,$0.01-4.99,0,2,"0 - 20,000",10000,-6.2841,52.87,28.47,low,0,0
5494,1229490,ULTRAKILL,,"Action, Early Access, Indie","Great Soundtrack, Difficult, FPS, First-Person, Blood, Fast-Paced, Shooter, Action",2499,24.99,$20-29.99,9,130813,"5,000,000 - 10,000,000",7500000,1.6442,52.87,70.16,high,1,0
5495,1139480,Mask of Sanity,2020-10-23,"Action, Indie","Survival, Gore, Survival Horror, First-Person, Horror, Atmospheric, Violent, Psychological Horror",699,6.99,$5-9.99,5,49,"0 - 20,000",10000,-3.8727,52.87,41.15,low,0,0
5496,2953030,滅ぼし姫,2024-09-22,RPG,"Difficult, Replay Value, Gore, Hack and Slash, Roguelite, Violent, Turn-Based, Roguelike",499,4.99,$0.01-4.99,7,17,"0 - 20,000",10000,-3.6647,52.87,42.24,low,0,0
5497,1646850,SpaceBourne 2,2023-02-17,"Action, Adventure, Early Access, Indie, RPG, Simulation, Strategy","Open World, Building, Base Building, First-Person, Management, War, Strategy, Economy",1999,19.99,$15-19.99,8,3752,"200,000 - 500,000",350000,-0.6355,52.86,58.17,medium,0,0
5498,1790370,Rogue AI Simulator,2023-01-11,"Casual, Indie, RPG, Simulation, Strategy","Building, Base Building, Colony Sim, Management, Simulation, Roguelite, Dark Humor, Resource Management",1199,11.99,$10-14.99,8,345,"20,000 - 50,000",35000,-2.0348,52.86,50.81,low,0,0
5499,541920,Help,2016-10-13,"Action, Adventure, Indie","Online Co-Op, Open World, Memes, FPS, First-Person, Horror, Psychological Horror, Strategy",499,4.99,$0.01-4.99,5,235,"50,000 - 100,000",75000,-2.8365,52.86,46.59,low,0,0
5500,1496710,Zombie Alert,2021-01-02,"Action, Early Access, Indie","Open World, Open World Survival Craft, Building, Survival, Base Building, Crafting, FPS, Character Customization",499,4.99,$0.01-4.99,0,9,"0 - 20,000",10000,-5.8599,52.86,30.7,low,0,0
5501,2998650,NEON Squad Tactics,2024-09-18,"Indie, Strategy","Co-op, Online Co-Op, Multiplayer, Tactical, Strategy, Singleplayer, RPG, Third Person",1999,19.99,$15-19.99,0,2,"0 - 20,000",10000,-6.2841,52.86,28.47,low,0,0
5502,1527500,Pro Strategy Football 2022,2021-08-31,"Indie, Simulation, Sports, Strategy","Multiplayer, Moddable, Management, Local Multiplayer, Simulation, Tactical, Historical, Isometric",1299,12.99,$10-14.99,8,88,"0 - 20,000",10000,-2.8175,52.86,46.69,low,0,0
5503,1737870,REKA,2024-09-12,"Adventure, Casual, Early Access, Indie, RPG","Sandbox, Open World, Building, Crafting, Atmospheric, Character Customization, Story Rich, Singleplayer",1999,19.99,$15-19.99,8,1289,"50,000 - 100,000",75000,-1.3859,52.86,54.22,medium,0,0
5504,3059370,Forecursed Playtest,2024-07-08,,"Online Co-Op, Multiplayer, Funny, Survival Horror, First-Person, Horror, Dungeon Crawler, Action",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.85,26.43,low,0,0
5505,233740,Organ Trail: Director's Cut,2013-03-19,"Indie, Strategy","Great Soundtrack, Survival, Simulation, Horror, Comedy, Strategy, Roguelike, Post-apocalyptic",499,4.99,$0.01-4.99,8,3027,"200,000 - 500,000",350000,-0.7111,52.85,57.76,medium,0,0
5506,440730,Survival Zombies The Inverted Evolution,2017-05-08,"Action, Adventure, Indie, Simulation","Multiplayer, Survival, FPS, First-Person, Simulation, Horror, Shooter, Action",99,0.99,$0.01-4.99,5,1080,"100,000 - 200,000",150000,-2.1319,52.85,50.29,medium,0,0
5507,1910950,Stimmings,2023-11-30,"Simulation, Strategy","Multiplayer, Base Building, Simulation, Roguelite, Strategy, RTS, Procedural Generation, Singleplayer",999,9.99,$5-9.99,0,2,"0 - 20,000",10000,-6.2841,52.85,28.46,low,0,0
5508,237990,The Banner Saga,2014-01-14,"Indie, RPG, Strategy","Great Soundtrack, Tactical, Atmospheric, Turn-Based, Strategy, Story Rich, Singleplayer, RPG",2499,24.99,$20-29.99,8,15294,"500,000 - 1,000,000",750000,0.0447,52.85,61.74,high,0,0
5509,1721000,Property Pro,,"Indie, Simulation, Strategy","Sandbox, Building, Base Building, Management, City Builder, Simulation, Resource Management, Strategy",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.85,26.43,low,0,0
5510,778410,Dead Ground,2018-02-14,"Action, Indie, RPG, Strategy","Great Soundtrack, Difficult, Replay Value, Fast-Paced, Roguelite, Strategy, Shooter, Action",74,0.74,$0.01-4.99,5,110,"0 - 20,000",10000,-3.5918,52.84,42.61,low,0,0
5511,543440,Cold Iron - Quick Draw Western Duels,2018-01-29,"Action, Indie","Great Soundtrack, Difficult, FPS, Simulation, Shooter, Story Rich, Action, Adventure",1399,13.99,$10-14.99,6,45,"0 - 20,000",10000,-3.6181,52.84,42.47,low,0,0
5512,2697940,Ascend to ZERO,,"Action, RPG, Strategy","Replay Value, Hack and Slash, Atmospheric, Roguelite, Dungeon Crawler, Roguelike, Post-apocalyptic, Voxel",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.84,26.42,low,0,0
5513,3038590,BigFool,2024-07-08,"Casual, Indie","Co-op, Online Co-Op, Multiplayer, Open World, Funny, FPS, First-Person, Horror",99,0.99,$0.01-4.99,7,26,"0 - 20,000",10000,-3.5218,52.84,42.98,low,0,0
5514,1102650,Neon City Riders,2020-03-11,"Action, Adventure, Indie, RPG","Great Soundtrack, Difficult, Classic, Fighting, Action, Singleplayer, RPG, Adventure",1999,19.99,$15-19.99,8,57,"0 - 20,000",10000,-2.9684,52.84,45.89,low,0,0
5515,323580,Jotun: Valhalla Edition,2015-09-29,"Action, Adventure, Indie","Great Soundtrack, Difficult, Atmospheric, Souls-like, Story Rich, Action, Isometric, Singleplayer",1499,14.99,$10-14.99,6,8349,"2,000,000 - 5,000,000",3500000,-0.3624,52.84,59.59,high,0,0
5516,1941620,LIMEN,,"Action, Indie","Multiplayer, Survival Horror, First-Person, Horror, Atmospheric, Lovecraftian, Comedy, Psychological Horror",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.84,26.42,low,0,0
5517,413870,Sickness,2016-01-20,"Action, Adventure, Indie, Simulation","Memes, Gore, Simulation, Horror, Comedy, Violent, Psychological Horror, Story Rich",999,9.99,$5-9.99,8,136,"0 - 20,000",10000,-2.6655,52.83,47.48,low,0,0
5518,1131780,Mustache or Revenge,2019-11-07,"Action, Adventure","Great Soundtrack, Difficult, Replay Value, Funny, Fast-Paced, Atmospheric, Action, Singleplayer",499,4.99,$0.01-4.99,0,9,"0 - 20,000",10000,-5.8599,52.83,30.68,low,0,0
5519,1724140,Craftomation 101: Programming & Craft,2024-02-19,"Early Access, Indie, Simulation, Strategy","Sandbox, Open World Survival Craft, Base Building, Crafting, Simulation, Resource Management, Strategy, Automation",999,9.99,$5-9.99,8,425,"20,000 - 50,000",35000,-1.9615,52.83,51.18,low,0,0
5520,298600,Lovely Planet,2014-07-31,"Action, Indie","Great Soundtrack, Difficult, FPS, First-Person, Fast-Paced, Psychological Horror, Shooter, Action",599,5.99,$5-9.99,8,2664,"200,000 - 500,000",350000,-0.7561,52.83,57.52,medium,0,0
5521,2481980,The Hunted: Only the Strong Survive,,"Action, Adventure, Early Access, RPG, Simulation","Multiplayer, Massively Multiplayer, Survival, Gore, Simulation, Violent, Realistic, Action",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.83,26.41,low,0,0
5522,2282380,EndlessChoice,,"Adventure, Indie, RPG, Strategy","Co-op, Online Co-Op, Multiplayer, Roguelite, Dungeon Crawler, Strategy, Roguelike, Procedural Generation",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.83,26.41,low,0,0
5523,1899200,Bombardier,2023-09-30,"Action, Casual, Indie","Co-op, Multiplayer, Local Co-Op, Team-Based, Funny, Local Multiplayer, 4 Player Local, Party Game",699,6.99,$5-9.99,0,8,"0 - 20,000",10000,-5.8971,52.83,30.49,low,0,0
5524,646570,Slay the Spire,2019-01-23,"Indie, Strategy","Great Soundtrack, Difficult, Replay Value, Roguelite, Turn-Based, Dungeon Crawler, Strategy, Roguelike",849,8.49,$5-9.99,9,166614,"5,000,000 - 10,000,000",7500000,1.7295,52.82,70.58,high,1,0
5525,372740,Second Warfare,2015-06-22,"Action, Adventure, Early Access, Indie","Multiplayer, FPS, Simulation, Violent, Shooter, Action, Dating Sim, Singleplayer",1499,14.99,$10-14.99,4,97,"20,000 - 50,000",35000,-3.6153,52.82,42.48,low,0,0
5526,2629320,Reverse Dungeon,,"Adventure, Casual, Indie, Simulation, Strategy","Co-op, Sandbox, Building, Local Co-Op, Funny, Simulation, Comedy, Physics",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.82,26.41,low,0,0
5527,401710,Flinthook,2017-04-18,"Action, Adventure, Indie","Great Soundtrack, Difficult, Replay Value, Roguelite, Roguelike, Action, Procedural Generation, Singleplayer",1499,14.99,$10-14.99,6,823,"100,000 - 200,000",150000,-1.9436,52.82,51.27,medium,0,0
5528,942220,Ambulance Simulator,,"Action, Indie, Simulation","Sandbox, Survival, First-Person, Management, Simulation, Tactical, Realistic, Action",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.82,26.41,low,0,0
5529,589500,Shovel Knight: Shovel of Hope,2019-12-10,"Action, Adventure, Indie","Co-op, Great Soundtrack, Difficult, Action, Singleplayer, Adventure, Indie, Platformer",1499,14.99,$10-14.99,8,841,"20,000 - 50,000",35000,-1.7214,52.82,52.44,medium,0,0
5530,1795670,Diner Together,,"Early Access, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, Crafting, Management, Simulation, Physics, Resource Management",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.81,26.41,low,0,0
5531,2684310,Dangerous FightCIA,2024-03-01,"Action, Adventure, Indie, Massively Multiplayer","Multiplayer, Massively Multiplayer, FPS, First-Person, Local Multiplayer, War, Shooter, Action",599,5.99,$5-9.99,0,1,"0 - 20,000",10000,-6.427,52.81,27.69,low,0,0
5532,979400,Last Labyrinth,2019-11-12,Adventure,"Survival Horror, First-Person, Horror, Atmospheric, Psychological Horror, Story Rich, Singleplayer, Adventure",2999,29.99,$20-29.99,6,111,"0 - 20,000",10000,-3.3045,52.81,44.11,low,0,0
5533,3280650,Paper Wars,,"Action, Indie, Simulation","Co-op, Online Co-Op, Multiplayer, First-Person, War, Simulation, Military, Realistic",0,0.0,free,0,0,"0 - 20,000",10000,-6.6712,52.8,26.4,low,0,0
5534,969540,Pattern,2020-04-07,Indie,"Great Soundtrack, Open World, First-Person, Beautiful, Short, Atmospheric, Procedural Generation, Singleplayer",1499,14.99,$10-14.99,6,34,"0 - 20,000",10000,-3.7144,52.8,41.95,low,0,0
5535,338630,Wildlife Camp,2015-11-20,"Casual, Indie, Simulation","Sandbox, Open World, Building, Replay Value, Funny, Management, Simulation, Atmospheric",699,6.99,$5-9.99,6,41,"0 - 20,000",10000,-3.6501,52.8,42.28,low,0,0
5536,218410,Defender's Quest: Valley of the Forgotten (DX edition),2012-10-30,"Indie, RPG, Strategy","Great Soundtrack, Moddable, Addictive, Comedy, Touch-Friendly, Strategy, Story Rich, Singleplayer",1499,14.99,$10-14.99,9,3415,"500,000 - 1,000,000",750000,-0.1995,52.8,60.43,medium,0,0
